"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"223748_at",104.606222239508,244.543938914907,3.26251333498515,0.00135000944928195,0.00697126621075656,-3.16149667615446,"SLC4A11"
"221012_s_at",366.706441570491,1439.59562236025,3.26057446768534,0.00135868801867343,0.0070101224328555,-3.16332789611044,"TRIM8"
"202269_x_at",54.9427907160984,82.5400182124224,3.25967061079031,0.00136275150210771,0.00702777196545362,-3.16418127668251,"GBP1"
"212386_at",2171.19297201639,6803.27720434783,3.25907048340129,0.00136545575133051,0.00703906215387475,-3.16474778653513,"TCF4"
"1560445_x_at",75.5730398081967,246.280349170186,3.2589998724359,0.00136577426148566,0.007040040326834,-3.16481443665008,"ARHGEF1"
"1568639_a_at",18.0351518775082,34.1426561583851,3.25525601539475,0.00138276135747346,0.00711619702747188,-3.16834665331298,"GATA2-AS1"
"205415_s_at",38.1152700895082,131.214753971429,3.25271282570384,0.00139441259036461,0.00716738820891089,-3.17074424773934,"ATXN3"
"209960_at",111.159612151639,167.919294459627,3.2521805855522,0.00139686250127244,0.00717593321968154,-3.17124583033358,"HGF"
"241140_at",37.6004170021311,118.567913202484,3.25211514152366,0.00139716401774004,0.00717680784197076,-3.17130750024479,"LMO7"
"212720_at",46.1308605590165,144.245461262733,3.2502431576043,0.0014058143915836,0.00721309936477739,-3.17307111281715,"PAPOLA"
"232879_at",10.6523277033098,22.1825627853416,3.24909704113415,0.00141113513028457,0.00723362209340979,-3.17415048319876,"CRTC3"
"209465_x_at",291.285304729508,690.502198291925,3.24905227684158,0.00141134332412567,0.00723401108526961,-3.17419263445965,"PTN"
"206283_s_at",43.6372841478032,114.95380220559,3.24892958508024,0.00141191409667516,0.00723558002021878,-3.17430816196618,"TAL1"
"212567_s_at",122.007751118033,335.424645956522,3.24796456931967,0.00141641092759067,0.00725250678647873,-3.17521670799978,"MAP4"
"243066_at",32.236968264918,91.3293759503106,3.24725665286326,0.0014197181845166,0.00726671894200011,-3.17588306371026,"NPL"
"1558088_a_at",13.0112099405738,22.8129645919255,3.24495019757786,0.00143054343745008,0.00731391083248392,-3.17805331365255,"UBE2I"
