"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-104.55526998541,103.822857993789,-7.92128814452845,3.73854253010989e-13,1.28556486058968e-10,2.83523803417764,"TM7SF2"
-372.087202295082,467.576838757764,-7.91988589132001,3.76894757957687e-13,1.28792005570853e-10,2.83320451664308,"MICU1"
-312.607059088525,476.862429478261,-7.91652116524968,3.84290814324513e-13,1.30503728404924e-10,2.82832508681606,"TMEM205"
-1461.28472387705,1218.01150809938,-7.91376568671689,3.90454664848203e-13,1.31778449386269e-10,2.82432919612099,"AMPH"
-1281.87634178361,1099.00425540373,-7.90607295413129,4.08186308604585e-13,1.36917708116292e-10,2.81317361540447,"ATP6V1G2"
-5565.23716662295,5630.57358503106,-7.89991699940744,4.22948607253571e-13,1.41004360375543e-10,2.80424673096413,"TUBA1B"
-238.518621490164,276.319115484472,-7.89681325434297,4.30590952807295e-13,1.42682183907508e-10,2.79974597410424,"VPS33B"
-437.74739058959,380.605547338509,-7.89477804051245,4.35676383062109e-13,1.43497627975426e-10,2.79679471942841,"GABBR2"
-4730.47531434426,5995.16991428571,-7.88530235912382,4.60148199924914e-13,1.50650316352663e-10,2.78305428768977,"RPL15"
-259.012940923279,285.383139745342,-7.86834451933199,5.07390955782098e-13,1.65128574448727e-10,2.75846512525402,"PPP2R1A"
-210.613471706885,194.985072850932,-7.86264279315243,5.24330984259351e-13,1.6963193233361e-10,2.75019782015121,"CPNE6"
-465.955937947541,536.077256093168,-7.8584294383545,5.37207956904711e-13,1.72775559080971e-10,2.74408870444718,"MDH2"
-522.498975281967,735.527250062112,-7.85517052262802,5.47382430259669e-13,1.75018329675131e-10,2.73936353068913,"C1orf115"
-902.682425129508,1232.60617948447,-7.85303859956726,5.54141457120871e-13,1.75414242472448e-10,2.73627243817829,"EHD3"
-74.7399271944263,103.216500906832,-7.85249410481219,5.55880933938938e-13,1.75414242472448e-10,2.7354829746443,"NUDCD3"
-94.6281276501639,88.9899510248447,-7.85175661318053,5.58245600186665e-13,1.75414242472448e-10,2.73441368722801,"CDC37"
-408.131497027869,414.479156086957,-7.84880710437486,5.67802851882098e-13,1.77397833866593e-10,2.73013723020946,"NDUFS7"
-130.567998542131,135.538221931677,-7.84597143872909,5.77144018299154e-13,1.79291756821058e-10,2.72602587737519,"TIMM50"
-4450.38981273279,4033.11516904348,-7.83838815636671,6.02879350860335e-13,1.84308965981184e-10,2.71503130683209,"SYN2"
-973.124084918033,1104.12311745342,-7.83615893367425,6.10658622046323e-13,1.84462763317032e-10,2.71179934590629,"PPME1"
-88.2238353239344,143.096957919255,-7.8332206241311,6.21064503130752e-13,1.86575284113593e-10,2.70753938460084,"EXOC6B"
-134.881991548361,206.212516596273,-7.83059527092058,6.30510566281818e-13,1.88377951975183e-10,2.70373319088407,"CASTOR3P"
-256.365912975574,225.213928745342,-7.82596274004053,6.47526938544967e-13,1.9241051828775e-10,2.6970171262425,"ACTB"
-124.173488319016,205.519678198758,-7.82085609109193,6.66812423047734e-13,1.97070103946675e-10,2.68961385814999,"BDH1"
-415.874267930492,438.397276055901,-7.8198244003783,6.70777196155202e-13,1.97176038708525e-10,2.68811820406916,"FIBP"
-286.902108093443,312.474090254658,-7.81157834641416,7.03317479017256e-13,2.05635738851703e-10,2.67616405249228,"BCCIP"
-667.750809811475,1006.10496552795,-7.80417742540818,7.33851663501279e-13,2.1342201969113e-10,2.66543546306628,"SH3KBP1"
-265.851185562295,280.351775285714,-7.79907312050857,7.55672203175125e-13,2.18602607701469e-10,2.65803633684947,"EMC3"
-556.696909247541,717.322528354037,-7.79755782073739,7.62272860434733e-13,2.18602607701469e-10,2.65583981603358,"SMARCA4"
-178.629917998361,210.57175447205,-7.79724108300165,7.63659772674543e-13,2.18602607701469e-10,2.65538068716937,"SRD5A3"
-202.396612026229,265.839548043478,-7.79564812834168,7.70672897415467e-13,2.19461149303076e-10,2.65307162231372,"CYB561"
-685.951656973771,706.697087776398,-7.79375064857317,7.79110024963197e-13,2.20714200077009e-10,2.65032115771522,"SYN2"
-499.585645167213,544.283005006211,-7.79045266268511,7.93992771935766e-13,2.23770901059732e-10,2.64554067267933,"GSS"
-510.029597827869,483.769050248447,-7.78834686590979,8.03642515418435e-13,2.25328997592323e-10,2.64248832787914,"PPP1R7"
-8476.21627165574,10181.2304051429,-7.78099496852817,8.38252112059411e-13,2.33252003387402e-10,2.63183204369854,"UBC"
-662.908251131148,760.079786770186,-7.78054193323463,8.40432458478615e-13,2.33252003387402e-10,2.63117540063292,"CALM3"
-1347.37844372131,1907.4011657764,-7.77930393795828,8.46419314872162e-13,2.33727151720381e-10,2.62938102100878,"EIF1"
-129.542042633279,181.974642757764,-7.77722001605441,8.56592564110015e-13,2.35347730867915e-10,2.62636056259224,"LRRC41"
-2373.35430385245,2683.67446086957,-7.76521398073991,9.17606726849058e-13,2.50850738952361e-10,2.60895956980992,"SLC9A6"
