"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"233009_at",-34.6113033203279,63.8330888546584,-4.22610229811169,3.98379314453275e-05,0.000366937146525149,-2.15286232650829,"Downregulated"
"238477_at",79.1437086396722,146.967834186335,4.22594336430351,3.98632247716304e-05,0.000367108272593716,-2.15304360882603,"Upregulated"
"228165_at",-105.385457645738,157.358154664596,-4.22576354940524,3.98918597404509e-05,0.000367310109684936,-2.15324870302213,"Downregulated"
"203950_s_at",-193.938888518033,480.298851950311,-4.22541608348632,3.99472484503798e-05,0.000367731646556741,-2.15364500120169,"Downregulated"
"241872_at",-114.281463920328,246.956948453416,-4.22539198623781,3.99510924654237e-05,0.000367731646556741,-2.15367248424053,"Downregulated"
"200705_s_at",-392.814936429508,965.968730664596,-4.2250362267013,4.00078847968414e-05,0.000368192408898721,-2.15407821785954,"Downregulated"
"227325_at",-308.616747121311,455.374686149068,-4.22467059506083,4.00663336569339e-05,0.000368668258615426,-2.15449518689687,"Downregulated"
"222506_at",-32.8280448083606,52.8429460552795,-4.22409777854752,4.01580669928113e-05,0.000369450162011099,-2.15514838333361,"Downregulated"
"221741_s_at",-523.710549381967,1415.59445956522,-4.22353174216381,4.02489121268652e-05,0.00037022363232442,-2.15579379093445,"Downregulated"
"244766_at",61.6307131211475,132.986114106832,4.2234606535413,4.02603352891268e-05,0.000370266414118252,-2.15587484377817,"Upregulated"
"226696_at",-37.4116774855737,110.920702304348,-4.22330950812781,4.02846330211169e-05,0.000370427566503459,-2.15604717168219,"Downregulated"
"202233_s_at",-1601.05948958033,2227.93687924224,-4.2231552369755,4.03094477227786e-05,0.000370563162644941,-2.15622305919767,"Downregulated"
"227817_at",-383.929978434918,980.833072590062,-4.2231335675005,4.03129344565544e-05,0.000370563162644941,-2.15624776464505,"Downregulated"
"209471_s_at",-47.6848861722951,95.0237967403727,-4.22222016379502,4.04601689810143e-05,0.000371854049258188,-2.15728906359939,"Downregulated"
"207843_x_at",-122.473760722951,321.25972978882,-4.22216824142202,4.04685539707637e-05,0.000371868603084286,-2.1573482517126,"Downregulated"
"209549_s_at",-230.565311968852,546.060609565217,-4.22202640285909,4.04914680897264e-05,0.000372016638851586,-2.1575099359643,"Downregulated"
"224895_at",59.4026567834426,111.424662420497,4.22188216921725,4.0514781878778e-05,0.000372168296240287,-2.15767434673884,"Upregulated"
"229653_at",-190.35362512459,544.723427229814,-4.22149718297006,4.05770736670139e-05,0.000372677893960018,-2.15811317136216,"Downregulated"
"229013_at",-44.1763290531148,88.8451613155279,-4.22139151124555,4.05941876688749e-05,0.000372772457305297,-2.15823361613044,"Downregulated"
"203672_x_at",-98.5006263647541,239.891712844721,-4.22047488813267,4.07429291854543e-05,0.000374075508516325,-2.15927830098404,"Downregulated"
"219562_at",-304.035409887377,619.141018062112,-4.22016866479645,4.0792736628013e-05,0.000374469925308364,-2.15962727357644,"Downregulated"
"207826_s_at",144.397925026623,157.345753047826,4.21992757204925,4.08319915603219e-05,0.000374752315838627,-2.15990201150656,"Upregulated"
"221512_at",-111.250274622623,285.172819987578,-4.21989555642837,4.08372070922092e-05,0.000374752315838627,-2.15993849422092,"Downregulated"
"221899_at",468.384220262295,1437.77820567702,4.21984089867675,4.08461126341441e-05,0.000374771137484784,-2.1600007778683,"Upregulated"
"214959_s_at",-29.5998615918033,45.2687564919255,-4.21956565612059,4.0890986956771e-05,0.000375119918097559,-2.16031441441827,"Downregulated"
"236333_at",109.514523192131,219.063828304348,4.21907334400839,4.09713691192001e-05,0.000375776093345856,-2.16087536624909,"Upregulated"
"226259_at",-213.961597670492,403.875109490683,-4.21904341303527,4.09762609698764e-05,0.000375776093345856,-2.16090946890228,"Downregulated"
"224907_s_at",-45.559642367541,113.96667763354,-4.21875298626976,4.10237567221547e-05,0.000376148565954018,-2.16124036610832,"Downregulated"
"215962_at",34.2485708108197,77.8344245795031,4.21851186575952,4.10632290931664e-05,0.000376411361896526,-2.16151507491303,"Upregulated"
"1553663_a_at",-56.3574524604918,52.1250467130435,-4.21849380611989,4.10661869906315e-05,0.000376411361896526,-2.1615356498593,"Downregulated"
"212116_at",-91.8157770590165,215.105567503106,-4.21833981923772,4.10914160161621e-05,0.000376579478827299,-2.16171108133506,"Downregulated"
"224967_at",-401.573192772131,601.713393335404,-4.21819018330662,4.11159464079322e-05,0.000376718853854484,-2.16188155189063,"Downregulated"
